Sample ID,Coral trt,Algal trt,Coral colony ID,Combined trt
PR.MM.1,Porites,Macroalgae mimic,Porites-1,Porites-Macroalgae mimic
AP.SN.8,Acropora,S nigricans,Acropora-8,Acropora-S nigricans
AP.SP.6,Acropora,S punctatus,Acropora-6,Acropora-S punctatus
PR.SN.7,Porites,S nigricans,Porites-7,Porites-S nigricans
PR.SG.9,Porites,Sargassum,Porites-9,Porites-Sargassum
PR.AM.4,Porites,Amansia,Porites-4,Porites-Amansia
AP.AM.5,Acropora,Amansia,Acropora-5,Acropora-Amansia
AP.SP.5,Acropora,S punctatus,Acropora-5,Acropora-S punctatus
PR.AM.5,Porites,Amansia,Porites-5,Porites-Amansia
PR.SG.3,Porites,Sargassum,Porites-3,Porites-Sargassum
PR.E.4,Porites,Empty,Porites-4,Porites-Empty
PR.TM.6,Porites,Turf mimic,Porites-6,Porites-Turf mimic
AP.SP.8,Acropora,S punctatus,Acropora-8,Acropora-S punctatus
